Votes,Result: REMAIN,Result: LEAVE,Average
39.9,0;0.01;0.01,,
40,0;0.01;0.01,,
40.1,0;0.01;0.01,,
40.2,0;0.01;0.01,,
40.3,0;0.01;0.01,,
40.4,0;0.01;0.01,,
40.5,0;0.02;0.02,,
40.6,0;0.02;0.02,,
40.7,0;0.03;0.03,,
40.8,0;0.03;0.03,,
40.9,0;0.04;0.04,,
41,0;0.04;0.04,,
41.1,0;0.05;0.05,,
41.2,0;0.06;0.06,,
41.3,0;0.07;0.07,,
41.4,0;0.09;0.09,,
41.5,0;0.1;0.1,,
41.6,0;0.12;0.12,,
41.7,0;0.14;0.14,,
41.8,0;0.16;0.16,,
41.9,0;0.19;0.19,,
42,0;0.22;0.22,,
42.1,0;0.26;0.26,,
42.2,0;0.3;0.3,,
42.3,0;0.34;0.34,,
42.4,0;0.4;0.4,,
42.5,0;0.45;0.45,,
42.6,0;0.52;0.52,,
42.7,0;0.6;0.6,,
42.8,0;0.68;0.68,,
42.9,0;0.77;0.77,,
43,0;0.88;0.88,,
43.1,0;0.99;0.99,,
43.2,0;1.12;1.12,,
43.3,0;1.26;1.26,,
43.4,0;1.42;1.42,,
43.5,0;1.59;1.59,,
43.6,0;1.77;1.77,,
43.7,0;1.98;1.98,,
43.8,0;2.2;2.2,,
43.9,0;2.44;2.44,,
44,0;2.7;2.7,,
44.1,0;2.98;2.98,,
44.2,0;3.28;3.28,,
44.3,0;3.6;3.6,,
44.4,0;3.95;3.95,,
44.5,0;4.31;4.31,,
44.6,0;4.7;4.7,,
44.7,0;5.11;5.11,,
44.8,0;5.55;5.55,,
44.9,0;6;6,,
45,0;6.48;6.48,,
45.1,0;6.97;6.97,,
45.2,0;7.49;7.49,,
45.3,0;8.02;8.02,,
45.4,0;8.57;8.57,,
45.5,0;9.13;9.13,,
45.6,0;9.71;9.71,,
45.7,0;10.3;10.3,,
45.8,0;10.89;10.89,,
45.9,0;11.49;11.49,,
46,0;12.1;12.1,,
46.1,0;12.7;12.7,,
46.2,0;13.3;13.3,,
46.3,0;13.9;13.9,,
46.4,0;14.48;14.48,,
46.5,0;15.06;15.06,,
46.6,0;15.61;15.61,,
46.7,0;16.15;16.15,,
46.8,0;16.66;16.66,,
46.9,0;17.15;17.15,,
47,0;17.6;17.6,,
47.1,0;18.03;18.03,,
47.2,0;18.41;18.41,,
47.3,0;18.76;18.76,,
47.4,0;19.07;19.07,,
47.5,0;19.33;19.33,,
47.6,0;19.55;19.55,,
47.7,0;19.72;19.72,,
47.8,0;19.85;19.85,,
47.9,0;19.92;19.92,,
48,0;19.95;19.95,,
48.1,0;19.92;19.92,,0;19.92;19.92
48.2,0;19.85;19.85,,
48.3,0;19.72;19.72,,
48.4,0;19.55;19.55,,
48.5,0;19.33;19.33,,
48.6,0;19.07;19.07,,
48.7,0;18.76;18.76,,
48.8,0;18.41;18.41,,
48.9,0;18.03;18.03,,
49,0;17.6;17.6,,
49.1,0;17.15;17.15,,
49.2,0;16.66;16.66,,
49.3,0;16.15;16.15,,
49.4,0;15.61;15.61,,
49.5,0;15.06;15.06,,
49.6,0;14.48;14.48,,
49.7,0;13.9;13.9,,
49.8,0;13.3;13.3,,
49.9,0;12.7;12.7,,
50,0;12.1;12.1,0;12.1;12.1,
50.1,,0;11.49;11.49,
50.2,,0;10.89;10.89,
50.3,,0;10.3;10.3,
50.4,,0;9.71;9.71,
50.5,,0;9.13;9.13,
50.6,,0;8.57;8.57,
50.7,,0;8.02;8.02,
50.8,,0;7.49;7.49,
50.9,,0;6.97;6.97,
51,,0;6.48;6.48,
51.1,,0;6;6,
51.2,,0;5.55;5.55,
51.3,,0;5.11;5.11,
51.4,,0;4.7;4.7,
51.5,,0;4.31;4.31,
51.6,,0;3.95;3.95,
51.7,,0;3.6;3.6,
51.8,,0;3.28;3.28,
51.9,,0;2.98;2.98,
52,,0;2.7;2.7,
52.1,,0;2.44;2.44,
52.2,,0;2.2;2.2,
52.3,,0;1.98;1.98,
52.4,,0;1.77;1.77,
52.5,,0;1.59;1.59,
52.6,,0;1.42;1.42,
52.7,,0;1.26;1.26,
52.8,,0;1.12;1.12,
52.9,,0;0.99;0.99,
53,,0;0.88;0.88,
53.1,,0;0.77;0.77,
53.2,,0;0.68;0.68,
53.3,,0;0.6;0.6,
53.4,,0;0.52;0.52,
53.5,,0;0.45;0.45,
53.6,,0;0.4;0.4,
53.7,,0;0.34;0.34,
53.8,,0;0.3;0.3,
53.9,,0;0.26;0.26,
54,,0;0.22;0.22,
54.1,,0;0.19;0.19,
54.2,,0;0.16;0.16,
54.3,,0;0.14;0.14,
54.4,,0;0.12;0.12,
54.5,,0;0.1;0.1,
54.6,,0;0.09;0.09,
54.7,,0;0.07;0.07,
54.8,,0;0.06;0.06,
54.9,,0;0.05;0.05,
55,,0;0.04;0.04,
55.1,,0;0.04;0.04,
55.2,,0;0.03;0.03,
55.3,,0;0.03;0.03,
55.4,,0;0.02;0.02,
55.5,,0;0.02;0.02,
55.6,,0;0.01;0.01,
55.7,,0;0.01;0.01,
55.8,,0;0.01;0.01,
55.9,,0;0.01;0.01,
56,,0;0.01;0.01,
56.1,,0;0.01;0.01,
